mail.ru;mail.ru/;Почта Mail.Ru;10938527;76
Lenta;lenta.ru;Lenta.Ru;3967786;84
RS_Total/Riaru_Total;ria.ru;РИА Новости: главные новости часа;3922259;88
hsdigital;www.hsdigital.ru/;Hearst Shkulev Digital;3522384;81
gazeta_all;www.gazeta.ru/;Газета.Ru: Главные новости и подробности текущих событий;3183018;86
vkontakte.ru;vkontakte.ru/;ВКонтакте.ру;3083044;79
kp;kp.ru;Комсомольская правда-Digital;2974689;77
RBCRU;www.rbc.ru;РБК - РосБизнесКонсалтинг - новости, курсы валют, погода;2829053;88
otvet.mail.ru;otvet.mail.ru/;Ответы Mail.Ru;2410117;86
mk;www.mk.ru;МОСКОВСКИЙ КОМСОМОЛЕЦ;2328130;87
news.rambler.ru;news.rambler.ru/;Рамблер/медиа - главные новости и cобытия в России и мире;2299547;77
mic_izvestia;iz.ru;Известия;2268483;86
hsdigital/wn;hearst-shkulev-media.ru;Women's Network Hearst Shkulev Media;2007105;75
russian.rt.com;russian.rt.com/;RT на русском;1867536;86
vesti.ru;vesti.ru/;"Информационный канал &quot;Вести&quot;";1798611;82
go.mail.ru;go.mail.ru/;Поиск Mail.Ru;1787025;76
drom;www.drom.ru;Drom.ru - продажа автомобилей, отзывы, форумы, каталоги;1636191;89
HeadHunter;hh.ru/;HeadHunter Group - Online Hiring Services;1251152;81
gazeta.ru/culture;www.gazeta.ru/culture/;Газета.Ru: Культура;1230758;91
smi2.ru;smi2.ru/;СМИ2 - Новостной агрегатор и новостная обменная сеть;1227487;82
TASS_total;tass.ru;ТАСС - Новости в России и мире;1198268;89
rg.ru;rg.ru/;Российская Газета: издание Правительства РФ;1119749;88
2gis;www.2gis.ru;Карта онлайн со справочником организаций — 2ГИС;1103669;79
AIF;www.aif.ru;Аргументы и Факты //  Объясняем, что происходит;1032621;76
dni.ru;dni.ru/;ДНИ ру - интернет-газета;1029962;81
hsdigital/rn/smi;news.ngs.ru;Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ;1024603;95
Pikabu;pikabu.ru;Сообщество Пикабу;1000804;76
woman.ru;www.woman.ru/;Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины;912308;76
mail-my;my.mail.ru/;Мой Мир Mail.Ru;863193;73
Lentainform;lentainform.com/;Lentainform.com - Эффективная система рекомендации контента;834780;69
mail.ru;mail.ru/;Почта Mail.Ru;10938527;76
Lenta;lenta.ru;Lenta.Ru;3967786;84
RS_Total/Riaru_Total;ria.ru;РИА Новости: главные новости часа;3922259;88
hsdigital;www.hsdigital.ru/;Hearst Shkulev Digital;3522384;81
gazeta_all;www.gazeta.ru/;Газета.Ru: Главные новости и подробности текущих событий;3183018;86
vkontakte.ru;vkontakte.ru/;ВКонтакте.ру;3083044;79
kp;kp.ru;Комсомольская правда-Digital;2974689;77
RBCRU;www.rbc.ru;РБК - РосБизнесКонсалтинг - новости, курсы валют, погода;2829053;88
otvet.mail.ru;otvet.mail.ru/;Ответы Mail.Ru;2410117;86
mk;www.mk.ru;МОСКОВСКИЙ КОМСОМОЛЕЦ;2328130;87
news.rambler.ru;news.rambler.ru/;Рамблер/медиа - главные новости и cобытия в России и мире;2299547;77
mic_izvestia;iz.ru;Известия;2268483;86
hsdigital/wn;hearst-shkulev-media.ru;Women's Network Hearst Shkulev Media;2007105;75
russian.rt.com;russian.rt.com/;RT на русском;1867536;86
vesti.ru;vesti.ru/;"Информационный канал &quot;Вести&quot;";1798611;82
go.mail.ru;go.mail.ru/;Поиск Mail.Ru;1787025;76
drom;www.drom.ru;Drom.ru - продажа автомобилей, отзывы, форумы, каталоги;1636191;89
HeadHunter;hh.ru/;HeadHunter Group - Online Hiring Services;1251152;81
